鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,縣市
鼓山區,房地(土地+建物),高雄市鼓山區鼓山二路８１之３４號五樓,18.96,商,,,1150412,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其它登記事項,鋼筋混凝土造,0740215,73.48,3,2,2,有,無,3800000,51715,,0.0,0,陽台外推；頂樓加蓋；,RPWNMLRLMHLGFAE88DA,70.58,0.0,2.9,無,,高雄市
龜山區,房地(土地+建物),桃園市龜山區民安街６４巷１８弄３６號四樓,31.52,住,,,1150329,土地4建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720609,105.27,5,2,4,有,無,7350000,69820,,0.0,0,陽台外推；,RPPOMLMKNHLGFHH78DA,94.2,0.0,11.07,無,,桃園市
中和區,房地(土地+建物),新北市中和區橋和路１６０巷３號八樓,6.49,住,,,1150324,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871230,51.959999999999994,1,1,1,有,有,9160000,176289,,0.0,0,,RPRPMLRKMHLGFHF66DA,31.52,0.0,6.49,有,0307,新北市
林口區,房地(土地+建物)+車位,新北市林口區文化二路二段１１７號二十樓之２,9.55,商,,,1110416,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141205,150.12,4,2,2,有,有,19210000,136375,坡道平面,25.39,2200000,預售屋、或土地及建物分件登記案件；,RPUOMLPKKIKGFBF48DA,73.1,0.0,9.46,有,,新北市
新屋區,房地(土地+建物)+車位,桃園市新屋區東興路一段９７６巷１７號,156.69,,特定農業區,甲種建築用地,1140712,土地2建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,1150123,199.69,4,2,4,有,無,15000000,75116,一樓平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPPNMLQJNHLGFDH58DA,172.93,0.0,26.45,無,,桃園市
林口區,房地(土地+建物)+車位,新北市林口區南勢一街６６號,20.13,住,,,1120629,土地1建物1車位1,一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1150225,97.84,0,0,0,無,有,12030000,165388,坡道平面,36.59,1900000,預售屋、或土地及建物分件登記案件；,RPTWMLTLLHLGFBF17DA,40.47,0.0,0.0,有,,新北市
新店區,房地(土地+建物),新北市新店區錦秀路５２巷１７號三樓,38.99,都市：其他:溝渠用地,,,1150314,土地7建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710227,112.21,4,2,2,有,有,7200000,64165,,0.0,0,陽台外推；,RPPNMLSKNHLGFCF58DA,103.01,0.0,9.2,無,,新北市
大安區,房地(土地+建物),臺北市大安區信義路四段２６５巷１２弄１號二樓,31.78,都市：其他:第四種住宅區。,,,1150324,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730719,170.5,4,2,1,有,無,52000000,304985,,0.0,0,陽台外推；其他增建；,RPQNMLNKMHLGFFA87DA,140.49,0.0,17.69,有,,台北市
阿蓮區,土地,埤仔尾段147地號,137.37,,鄉村區,乙種建築用地,1150407,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1100000,8008,,0.0,0,,RPWNMLTLMHLGFJE37DA,0.0,0.0,0.0,無,0028,高雄市
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區山鼻二路１３９號三樓,26.03,住,,,1130516,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150319,155.11,3,2,2,有,有,14270000,101715,坡道平面,31.53,1700000,預售屋、或土地及建物分件登記案件；,RPVPMLTLMHLGFEH27DA,72.37,0.0,9.9,有,,桃園市
林口區,房地(土地+建物)+車位,新北市林口區吉祥路２８號二樓,12.24,商,,,1120426,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1150213,134.03,0,0,0,無,有,17320000,138287,坡道平面,26.5,2450000,113.2.16 以1800萬轉讓預售屋、或土地及建物分件登記案件；,RPSPMLRLJHLGFBF58DA,63.33,0.0,6.78,有,,新北市
桃園區,房地(土地+建物)+車位,桃園市桃園區藝文一街５８號四樓,22.13,商,,,1141210,土地1建物1車位2,四層,二十七層,住宅大樓(11層含以上有電梯),辦公用,鋼骨鋼筋混凝土造,1090106,280.91,3,2,3,有,有,32000000,113915,坡道平面,52.59,0,,RPTQMLTLMHLGFAH76DA,128.75,0.0,23.61,有,0309,桃園市
三民區,房地(土地+建物),高雄市三民區南臺路１９５巷１３號十七樓之３,1.52,商,,,1150428,土地1建物1車位0,十七層,二十五層,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0870929,20.08,1,1,1,有,有,900000,44821,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJNHLGFDE58EA,12.73,0.28,0.93,有,0050,高雄市
