Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
X - Remix,X (Remix),Nicky Jam,6/19/2018,USSD11800257,605,61.5,"341,040,837","36,912","15,902,955",60.0,"2,922,815,312","10,451,653","16,100","3,472,949","24,802,266","234,524,144",23.0,"5,850",,19.0,"112,905",,"95,517,258","14,891",,"727,415",,0
Far Away (2020 Remaster),All The Right Reasons (15th Anniversary Expanded Edition),Nickelback,10/2/2020,USRH12000111,"3,661",22.4,"378,296,524","1,941","494,700",61.0,,,,,,,5.0,,,,,7.0,"519,451,782","175,525",,,,0
Con Altura,Con Altura,ROSALï¿½,3/28/2019,USSM11900950,566,63.9,"770,653,954","81,459","36,880,651",66.0,"2,296,478,541","10,488,884","216,000","24,907,115","353,024,939","485,556,969",194.0,"27,554",431,81.0,"940,235",66.0,"42,954,487","21,247",,"2,990,649",,0
Hurricane,Donda,Kanye West,8/29/2021,USUM72116311,"2,549",28.0,"404,497,617","108,795","16,231,758",62.0,"45,337,894","615,908","20,272","10,266,783","91,838,300","506,294",51.0,"33,710",185,16.0,"456,029",24.0,"11,239,141","5,307",,"1,304,734",,0
Need To Know,Need To Know,Doja Cat,6/11/2021,USRC12101120,344,82.5,"1,178,076,856","164,743","42,269,625",71.0,"507,790,705","6,169,368","734,932","365,523,934","2,422,643,413","2,099,921,417",195.0,"439,065","1,451",38.0,"870,717",28.0,"90,615,307","51,300",,"5,746,726",,1
Right On,Right On,Lil Baby,4/8/2022,USUG12200031,"3,106",24.8,"121,466,936","55,063","13,549,250",58.0,"124,159,378","927,806","25,206","5,807,741","46,858,425","484,729,091",34.0,"8,558",183,9.0,"464,892",9.0,"37,852,525","12,734",,"538,503",,1
Tï¿½ï¿½ OK (Re,Tï¿½ï¿½ OK (Remix) (feat. MC Kevin o Ch,DENNIS,8/3/2023,BRSME2301107,"2,775",26.7,"112,629,182","13,995","21,476,863",68.0,"45,525,215","604,580","367,300","37,624,994","569,736,479","21,091,552",16.0,"3,689",,43.0,"1,673,614",29.0,"5,997,084","1,423",,"488,961",,0
Dime Cï¿½ï¿½mo Qui,Dime Cï¿½ï¿½mo Qui,Christian Nodal,11/12/2020,MXUM72006106,"1,692",35.5,"261,261,845","25,570","7,968,718",65.0,"818,241,698","5,238,973","283,651","33,684,334","333,893,267","24,950,130",23.0,"13,271",224,21.0,"2,759,428",27.0,"35,336,195","10,178",,"937,662",,0
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Bonnadol,3/15/2023,THSOH2301617,"2,652",27.4,"478,756",207,"18,460",21.0,"5,028,021","4,866","2,000,000","13,777,952","193,347,455",,,,,,,,,,,"4,666",,0
Sunshine,Sunshine,OneRepublic,11/10/2021,USUM72100506,"3,898",21.6,"426,609,723","59,377","40,654,330",73.0,"21,063,557","222,445","20,366","7,424,142","85,043,400","107,775,025",58.0,416,37,46.0,"360,130",15.0,"85,107,847","21,991",,"791,789",,0
ROLLIN N CONTROLLIN FREESTYLE,Woo Shit,DUSTY LOCANE,8/6/2020,USUYG1329885,"4,137",20.9,"153,213,678","70,131","7,126,412",53.0,"66,414,830","840,510","105,736","102,787,553","648,833,938","4,166,998",8.0,"1,242",,2.0,285,,"1,830,754","2,960","23,893,875","642,918",,1
Not Even Ghosts Are This Empty,I No Longer Fear The Razor Guarding My Heel (V) - Single,$uicideboy$,8/11/2023,QZAPK2000391,"3,216",24.3,"73,979,851","22,621","3,769,032",67.0,"50,747,796","693,723","3,709","675,392","3,352,332","4,164,938",,185,55,,,,"3,513,432","1,163",,"135,705",,1
Mon amour,Mon amour,Slimane,11/8/2023,FRDZ22300550,"4,157",20.8,"53,969,524","4,597","8,850,447",63.0,"33,219,103","317,942","8,208","197,907","4,711,140","109,136,641",30.0,"25,988",,36.0,"17,495,352",27.0,"9,595",26,,"470,221",,0
Counting stars,Until the morning 2,OneRepublic,8/4/2014,FR0Z50017635,"1,081",46.0,,,,,"4,069,201,723","18,144,051",,,,"399,937,303",,,,1.0,180,,,,,,,0
Me Enterï¿,Me Enterï¿,Tiago PZK,5/18/2023,USWL12300718,"3,077",25.0,"144,493,101","18,536","13,122,139",65.0,"109,364,201","460,758","32,956","4,979,403","58,143,056","389,898",18.0,"8,400",,9.0,"164,645",21.0,"47,014",23,"2,887","96,820",,0
Fight The Feeling,Fight The Feeling,Rod Wave,3/31/2023,USQX92301922,"1,128",44.8,"86,327,319","18,112","2,247,123",51.0,"65,828,097","457,580","179,400","15,991,452","137,960,911","377,095,739",18.0,"100,880","1,989",8.0,"929,184",10.0,"34,839,558","18,952","12,848,106","567,245",,1
Without Me,The Source - Hip Hop Hits Vol. 6,Eminem,1/1/2002,USIR10211038,"3,210",24.3,"2,146,682,342","397,228","83,160,830",83.0,"347,730,526","3,552,978","761,633","27,141,268","177,890,147","22,608,265",118.0,"2,668",69,83.0,"2,953,010",38.0,"424,694,899","223,248","36,224,403","13,371,463",,1
Dial Drunk (with Post Malone),Dial Drunk (with Post Malone),Noah Kahan,7/18/2023,USUM72308676,"1,533",37.5,"276,026,602","37,445","15,016,410",79.0,"2,065,849","27,184",31,"6,248","62,794",,20.0,"14,487",69,5.0,"263,887",41.0,"33,078,159","7,541","1,242,129","843,154",,1
Nevada,Nevada,YoungBoy Never Broke Again,1/30/2021,USAT22103399,"2,251",30.1,"163,974,630","60,031","4,503,801",64.0,"109,858,521","915,546","20,233","5,083,710","48,854,928","122,293,460",23.0,264,2,2.0,"55,679",,"44,161,281","27,622","38,396,480",,,1
